DAY,SALES_VALUE
101,271.39
102,256.08
103,342.81
104,275.1
105,142.0
106,170.93
107,205.84
108,161.56
109,240.5
110,265.14
111,185.96
112,180.63
113,216.81
114,265.5
115,225.1
116,225.53
117,200.55
118,193.76
119,197.44
120,209.01
121,180.18
122,155.32
123,233.06
124,296.43
125,177.25
126,143.29
127,136.08
128,192.86
129,157.56
130,269.08
131,219.65
132,217.2
133,177.61
134,206.12
135,207.26
136,366.17
137,364.12
138,342.36
139,183.57
140,185.41
141,116.3
142,116.17
143,144.44
144,216.47
145,214.33
146,307.55
147,225.93
148,258.77
149,251.62
150,267.67
151,447.49
152,313.66
153,138.24
154,233.51
155,99.42
156,198.72
157,250.63
158,224.97
159,277.75
160,321.96
161,336.57
162,455.59
163,428.77
164,427.75
165,742.17
166,636.64
167,523.78
168,190.56
169,163.07
170,150.7
171,166.26
172,209.37
173,288.1
174,143.31
175,140.49
176,161.65
177,166.17000000000002
178,157.65
179,175.32
180,244.09
181,109.14
182,126.17
183,177.34
184,154.07
185,174.03
186,264.48
187,229.06
188,261.56
189,240.69
190,200.18
191,266.34
192,267.77
193,405.42
194,376.15
195,235.54999999999998
196,275.53
197,193.97
198,217.73
199,238.15
200,245.27
201,339.81
202,180.91
203,238.35999999999999
204,178.78
205,203.07999999999998
206,170.82999999999998
207,292.0
208,336.14
209,311.64
210,168.60999999999999
211,205.72
212,223.18
213,197.72
214,285.27
215,260.66
216,129.44
217,153.26
218,101.09
219,122.36
220,128.4
221,203.23000000000002
222,251.19
223,172.54
224,229.9
225,275.72
226,228.01
227,393.18
228,321.15
229,389.45
230,198.32
231,176.71
232,251.59
233,226.08
234,258.7
235,311.23
236,336.91
237,207.99
238,179.03
239,150.44
240,210.24
241,307.39
242,385.02
243,296.98
244,237.91
245,364.16
246,570.99
247,156.66
248,180.0
249,275.78000000000003
250,253.21
251,165.27
252,192.60999999999999
253,181.61
254,248.55
255,188.59
256,380.12
257,345.54
258,337.21
259,267.89
260,339.4
261,378.47
