,household_key,age_45_plus,income_50K_plus,single_couple_family,has_kids,single,couple,r_score,f_score,m_score,rfm_score,rfm_bins,alcohol,beverages,concessions,dairy,drug,garden,grain_goods,grocery,home_family,junk_food,kitchen,meat,misc,produce,seasonal,total_sales
0,1,1,0,2,0,0,1,5,3,4,12,3,6.48,314.83,20.33,362.76,53.440000000000005,0.0,668.41,230.24,537.29,764.02,1.59,379.04,303.82,477.82,0.0,4120.07
1,7,1,1,2,0,0,1,5,3,4,12,3,4.99,200.29,79.92,277.59000000000003,123.14,3.5,248.84,141.06,648.67,248.54,0.0,616.74,191.86,371.61,13.46,3170.21
2,8,0,0,3,1,0,0,5,4,5,14,4,221.41,199.55,173.53,489.03000000000003,104.04,23.33,427.4,213.37,901.8100000000001,389.36,34.68,956.7,379.84000000000003,545.26,15.98,5075.29
3,13,0,1,3,1,0,0,5,5,5,15,5,222.2,479.09000000000003,261.73,923.01,328.66,8.49,611.88,229.27,2771.5299999999997,829.34,18.71,604.16,764.12,578.87,70.93,8701.99
4,16,1,1,1,0,1,0,4,3,2,9,3,11.98,29.94,0.0,159.62,6.78,3.75,279.85,73.24,72.17,127.63,8.07,224.09,137.36,90.22,0.0,1224.7
5,17,1,0,2,0,0,1,4,4,4,12,3,98.49,454.43,48.15,158.59,108.83,0.0,118.78999999999999,41.93,117.37,556.61,3.99,1150.01,314.23,237.92000000000002,7.970000000000001,3417.31
6,18,1,1,2,0,0,1,5,4,5,14,4,1316.04,390.03000000000003,33.25,764.85,24.580000000000002,43.94,488.94,320.03000000000003,403.79,558.27,0.0,875.55,392.43,712.21,4.0,6327.910000000001
7,19,0,0,1,0,1,0,5,5,5,15,5,62.61,682.23,19.650000000000002,766.28,35.81,0.5,1054.55,512.89,231.83,1245.49,0.0,3048.29,608.95,1240.43,3.98,9513.49
8,20,0,1,2,0,0,1,5,5,5,15,5,566.65,271.76,36.25,531.7,119.41,1.89,1150.02,170.97,395.7,948.13,0.0,838.0600000000001,414.65,467.43,5.99,5918.61
9,22,1,1,2,0,0,1,5,4,5,14,4,97.92999999999999,156.64,70.63,350.11,151.59,50.510000000000005,602.95,177.59,209.97,398.93,0.0,1288.7,400.15,643.91,2.99,4602.6
10,25,0,1,1,0,1,0,5,3,4,12,3,834.21,90.19,10.09,311.09,16.62,1.49,195.94,59.6,111.82,392.63,19.99,497.17,61.51,211.2,0.59,2814.14
11,27,1,0,1,0,1,0,5,5,5,15,5,3433.7400000000002,29.720000000000002,62.07,270.6,42.51,0.0,23.740000000000002,43.59,132.68,392.43,0.68,751.48,169.27,186.82,0.0,5539.33
12,31,0,0,2,0,0,1,5,2,4,11,3,215.48000000000002,175.45,25.75,498.44,99.89,0.0,215.63,155.73,761.64,218.95,0.0,499.7,236.13,354.39,9.98,3467.1599999999994
13,39,0,1,2,0,0,1,4,3,4,11,3,17.48,314.15000000000003,18.85,426.27,6.99,8.16,625.59,326.57,293.37,551.98,5.86,955.83,318.69,289.44,21.94,4181.169999999999
14,40,1,0,2,0,0,1,5,5,5,15,5,221.08,671.5,286.29,783.85,354.16,18.64,553.42,717.28,2295.15,432.33,22.03,1479.24,511.81,1500.2,47.400000000000006,9894.380000000001
15,42,1,1,1,0,1,0,5,3,3,11,3,80.3,145.43,6.0,62.99,49.05,0.0,55.3,88.76,267.07,64.4,0.17,928.03,96.43,113.47,0.0,1957.4
16,43,0,0,3,1,0,0,4,4,2,10,3,0.0,33.18,5.98,51.51,11.77,0.99,41.51,2.44,403.33,83.58,0.0,38.33,56.28,37.81,2.98,769.69
17,46,1,1,3,1,0,0,5,4,5,14,4,115.46000000000001,419.03000000000003,243.93,430.96,223.11,13.65,714.04,232.43,1395.1,1053.12,25.650000000000002,1303.14,591.23,869.65,91.44,7721.94
18,48,0,0,2,0,0,1,4,2,2,8,2,0.0,6.28,63.69,73.42,70.99000000000001,0.0,70.49,84.19,200.91,68.06,0.0,260.36,60.64,48.440000000000005,1.98,1009.45
19,49,0,0,2,0,0,1,5,3,5,13,4,56.22,161.49,88.54,359.15,143.13,0.0,344.96,220.51,994.54,748.89,0.0,1552.34,185.63,422.81,3.99,5282.2
20,52,1,1,2,0,0,1,5,4,5,14,4,66.17,506.41,102.17,412.98,105.22,21.32,486.91,353.17,299.38,503.92,43.22,832.69,419.48,710.09,0.5,4863.63
21,55,1,0,2,0,0,1,5,4,2,11,3,0.0,86.79,19.15,94.92,105.99,0.0,129.51,44.94,199.47,161.82,0.0,103.38,36.44,37.32,0.0,1019.7299999999999
22,56,1,1,3,1,0,0,5,5,5,15,5,96.18,367.53000000000003,134.16,332.1,208.14000000000001,60.34,833.74,380.5,962.27,798.8100000000001,10.06,1324.82,364.41,539.2,105.47999999999999,6517.74
23,57,1,0,2,0,0,1,4,5,4,13,4,3.99,177.09,40.97,203.21,329.79,19.86,109.39,94.87,465.18,181.51,12.96,176.4,577.22,180.75,6.380000000000001,2579.57
24,58,0,1,3,1,0,0,5,5,5,15,5,493.03,284.79,108.57000000000001,790.29,103.25,0.0,823.69,410.05,801.09,748.07,10.65,998.09,544.01,966.78,14.26,7096.62
25,67,1,0,3,1,0,0,5,5,5,15,5,677.98,535.04,224.06,1139.1200000000001,157.52,16.98,1165.47,356.81,483.64,1329.84,4.34,1201.59,594.51,981.86,4.48,8873.240000000002
26,71,0,0,2,0,1,0,5,3,4,12,3,1314.19,83.6,36.54,141.38,0.0,0.0,173.38,119.54,28.990000000000002,319.39,0.0,418.48,101.11,201.83,2.24,2940.67
