DAY,SALES_VALUE
101,57.63
102,100.02
103,101.76
104,101.64
105,43.3
106,45.45
107,43.71
108,28.560000000000002
109,65.51
110,89.87
111,24.13
112,42.84
113,60.32
114,53.92
115,101.27
116,54.94
117,68.57
118,68.87
119,50.52
120,48.33
121,68.01
122,59.21
123,48.05
124,82.14
125,63.18
126,36.29
127,52.32
128,44.5
129,23.23
130,55.57
131,78.02
132,46.04
133,24.93
134,52.95
135,63.41
136,41.63
137,75.11
138,103.25
139,80.84
140,42.68
141,57.75
142,44.82
143,47.93
144,52.12
145,80.83
146,120.46000000000001
147,85.91
148,61.32
149,62.94
150,97.95
151,101.39
152,79.24
153,68.94
154,65.84
155,55.93
156,64.89
157,79.5
158,63.85
159,94.39
160,88.79
161,33.03
162,39.63
163,79.4
164,35.32
165,68.57
166,70.26
167,87.81
168,66.18
169,74.72
170,56.86
171,26.220000000000002
172,36.49
173,67.34
174,43.09
175,43.8
176,35.4
177,40.41
178,46.09
179,81.8
180,93.15
181,67.24
182,41.63
183,50.66
184,39.66
185,76.77
186,65.09
187,88.04
188,64.04
189,67.48
190,51.83
191,74.36
192,82.28
193,74.1
194,104.48
195,61.69
196,55.72
197,74.67
198,41.79
199,44.88
200,62.15
201,70.58
202,40.05
203,62.480000000000004
204,47.11
205,51.25
206,33.28
207,53.82
208,107.02
209,44.11
210,19.21
211,51.79
212,41.11
213,48.269999999999996
214,66.72
215,90.23
216,56.28
217,49.07
218,55.71
219,40.75
220,48.64
221,45.3
222,67.02
223,44.68
224,56.43
225,57.370000000000005
226,64.12
227,44.1
228,94.44
229,64.18
230,28.66
231,58.77
232,64.41
233,34.62
234,22.47
235,65.06
236,68.19
237,74.47
238,57.01
239,59.25
240,41.03
241,69.42
242,49.22
243,114.79
244,100.22
245,89.86
246,82.98
247,9.84
248,36.73
249,78.34
250,86.29
251,55.41
252,28.71
253,34.57
254,44.89
255,65.34
256,95.57000000000001
257,123.72
258,135.18
259,58.04
260,50.97
261,56.65
262,43.17
263,42.38
264,80.44
265,25.11
266,67.28
267,46.56
268,32.760000000000005
269,49.870000000000005
270,52.45
271,87.19
272,75.65
273,42.06
274,47.42
275,93.63
276,202.29
277,43.24
279,58.74
280,39.11
281,60.37
282,38.46
283,55.4
284,58.01
285,50.82
286,70.97
287,84.32
288,52.31
289,76.89
290,49.18
291,61.71
292,121.49
293,63.96
294,31.2
295,40.81
296,86.63
297,68.64
298,96.99
299,90.42
300,106.17
301,25.8
302,54.55
303,27.93
304,71.82
305,56.96
306,102.54
307,55.03
308,103.31
309,48.99
310,50.62
311,70.31
312,99.17
313,92.4
314,61.55
315,62.72
316,46.41
317,69.53999999999999
318,79.46
319,104.77
320,97.61
321,101.3
322,57.12
323,77.21000000000001
324,87.42
325,80.62
326,81.2
327,122.95
328,67.5
329,104.6
330,66.36
331,77.36
332,72.74
333,99.34
334,75.69
335,63.6
336,69.32
337,85.53999999999999
338,15.700000000000001
339,44.62
340,85.53
341,86.65
342,101.62
343,73.96
344,68.4
345,134.3
346,72.36
347,106.07
348,147.73
349,70.99
350,56.769999999999996
351,52.6
352,37.77
353,65.05
354,62.53
355,107.62
356,70.89
357,36.21
358,73.35
359,61.64
360,52.03
361,68.97
362,100.33
363,133.39
364,48.160000000000004
365,36.85
